Borough_name,Descriptor,Reports,Population,Rate_per_100k
Bronx,Farm Animal,78,1472654,5.2965598164945735
Brooklyn,Farm Animal,209,2736074,7.638682287101884
Manhattan,Farm Animal,53,1694251,3.1282259830450156
Queens,Farm Animal,228,2405464,9.478420795322648
Staten Island,Farm Animal,97,495747,19.566432071197607
Bronx,Ferret,18,1472654,1.222283034575671
Brooklyn,Ferret,18,2736074,0.6578769433867652
Manhattan,Ferret,16,1694251,0.9443701080890612
Queens,Ferret,26,2405464,1.0808725468350389
Staten Island,Ferret,9,495747,1.8154421509358605
Bronx,Iguana,4,1472654,0.27161845212792685
Brooklyn,Iguana,18,2736074,0.6578769433867652
Manhattan,Iguana,6,1694251,0.3541387905333979
Queens,Iguana,10,2405464,0.41572021032116885
Staten Island,Iguana,4,495747,0.8068631781937158
Bronx,Monkey,17,1472654,1.1543784215436892
Brooklyn,Monkey,16,2736074,0.5847795052326801
Manhattan,Monkey,11,1694251,0.6492544493112296
Queens,Monkey,11,2405464,0.4572922313532857
Staten Island,Monkey,9,495747,1.8154421509358605
Bronx,Other,185,1472654,12.562353410916618
Brooklyn,Other,332,2736074,12.134174733578112
Manhattan,Other,189,1694251,11.155371901802036
Queens,Other,420,2405464,17.46024883348909
Staten Island,Other,128,495747,25.819621702198905
Bronx,Rooster,432,1472654,29.334792829816102
Brooklyn,Rooster,550,2736074,20.10179549237338
Manhattan,Rooster,113,1694251,6.669613888378995
Queens,Rooster,685,2405464,28.476834407000066
Staten Island,Rooster,266,495747,53.6564013498821
Bronx,Snake,56,1472654,3.802658329790976
Brooklyn,Snake,113,2736074,4.130005255705803
Manhattan,Snake,61,1694251,3.6004110370895455
Queens,Snake,66,2405464,2.743753388119714
Staten Island,Snake,31,495747,6.253189631001297
Bronx,Turtle Under 4 inches Long,17,1472654,1.1543784215436892
Brooklyn,Turtle Under 4 inches Long,151,2736074,5.518856580633418
Manhattan,Turtle Under 4 inches Long,55,1694251,3.2462722465561478
Queens,Turtle Under 4 inches Long,69,2405464,2.8684694512160647
Staten Island,Turtle Under 4 inches Long,1,495747,0.20171579454842894
